"product_code	name	description	medium	dimensions	weight	year	poplets	enabled	small_image	large_image	catalogue	sale_price	retail_price	url_path"
"S-CR_0014	Akintoye	<p>Meaning: Strength is enough title.<br />Origin: Yuroba tribe"," Nigeria.</p>	stoneware"," anagama fired	7 x 18.5 x 13.5	15.4	2011	/images/art/portfolio/large/S-CR_0014_a.jpg;/images/art/portfolio/large/S-CR_0014_b.jpg;/images/art/portfolio/large/S-CR_0014_c.jpg;/images/art/portfolio/large/S-CR_0014_d.jpg;/images/art/portfolio/large/S-CR_0014_e.jpg;/images/art/portfolio/large/S-CR_0014_f.jpg;/images/art/portfolio/large/S-CR_0014_g.jpg;/images/art/portfolio/large/S-CR_0014_h.jpg;	Y	/images/art/portfolio/small/S-CR_0014_a.jpg	/images/art/portfolio/large/S-CR_0014_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/2000.00;	US/2000.00;	http://baralaye.com/sculpture/ceramics/akintoye",,,
"S-CR_0016	Ayomide	<p>Meaning: My joy has arrived<br />Origin: Yuroba tribe"," Nigeria.</p>	stoneware"," anagama fired	9 x 15.5 x 17	13.2	2011	/images/art/portfolio/large/S-CR_0016_a.jpg;/images/art/portfolio/large/S-CR_0016_b.jpg;/images/art/portfolio/large/S-CR_0016_c.jpg;/images/art/portfolio/large/S-CR_0016_f.jpg;/images/art/portfolio/large/S-CR_0016_h.jpg;/images/art/portfolio/large/S-CR_0016_i.jpg;/images/art/portfolio/large/S-CR_0016_j.jpg;/images/art/portfolio/large/S-CR_0016_k.jpg;	Y	/images/art/portfolio/small/S-CR_0016_h.jpg	/images/art/portfolio/large/S-CR_0016_h.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/2000.00;	US/2000.00;	http://baralaye.com/sculpture/ceramics/ayomide",,,
"S-CR_0010	Billie	<div class=""quote""><p>There's two kinds of blues", there's happy blues and there's sad blues. The blues is sort of a mixed up thing," you just have to feel it.</p><span class=""att"">- Billie Holiday</span></div>	terra-cotta	8 x 9 x 9	5.2	2004	/images/art/portfolio/large/S-CR_0010_a.jpg;/images/art/portfolio/large/S-CR_0010_b.jpg;/images/art/portfolio/large/S-CR_0010_c.jpg;	Y	/images/art/portfolio/small/S-CR_0010_a.jpg	/images/art/portfolio/large/S-CR_0010_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/600.00;	US/600.00;	http://baralaye.com/sculpture/ceramics/billie",,,
"S-CR_0013	Ezra	<div class=""quote""><p>With usura", sin against nature,<br />is thy bread ever more of stale rags<br />is thy bread dry as paper,<br />with no mountain wheat," no strong flour...</p><span class=""att"">Canto XLV - With Usura(excerpt)<br />- Ezra Pound</span></div>	terra-cotta"," acrylic surface	5 x 7 x 8	8	2006	/images/art/portfolio/large/S-CR_0013_a.jpg;/images/art/portfolio/large/S-CR_0013_b.jpg;	Y	/images/art/portfolio/small/S-CR_0013_a.jpg	/images/art/portfolio/large/S-CR_0013_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/600.00;	US/600.00;	http://baralaye.com/sculpture/ceramics/ezra"
"S-CR_0011	Hughes	<div class=""quote""><p>I've known rivers ancient as the world and older than the flow of human blood in human veins. My soul has grown deep like the rivers.</p><span class=""att"">The Negro Speaks of Rivers (excerpt) - Langston Hughes</span></div>	terra-cotta	13 x 16 x 16	16.5	2004	/images/art/portfolio/large/S-CR_0011_a.jpg;/images/art/portfolio/large/S-CR_0011_b.jpg;	Y	/images/art/portfolio/small/S-CR_0011_a.jpg	/images/art/portfolio/large/S-CR_0011_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/900.00;	US/900.00;	http://baralaye.com/sculpture/ceramics/hughes",,,,,
"S-CR_0012	Jehoakim		terra-cotta"," acrylic surface	5 x 7 x 9	10	2006	/images/art/portfolio/large/S-CR_0012_a.jpg;/images/art/portfolio/large/S-CR_0012_b.jpg;	Y	/images/art/portfolio/small/S-CR_0012_a.jpg	/images/art/portfolio/large/S-CR_0012_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/600.00;	US/600.00;	http://baralaye.com/sculpture/ceramics/jehoakim",,,,
"S-CR_0026	Joseph		Stoneware with wax patina.	7.5 x 3.5 x 10.5	3.8	2012	/images/art/portfolio/large/S-CR_0026_a.jpg;/images/art/portfolio/large/S-CR_0026_b.jpg;/images/art/portfolio/large/S-CR_0026_c.jpg;/images/art/portfolio/large/S-CR_0026_d.jpg;/images/art/portfolio/large/S-CR_0026_e.jpg;/images/art/portfolio/large/S-CR_0026_f.jpg;/images/art/portfolio/large/S-CR_0026_g.jpg;/images/art/portfolio/large/S-CR_0026_h.jpg;	Y	/images/art/portfolio/small/S-CR_0026_a.jpg	/images/art/portfolio/large/S-CR_0026_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/600.00;	US/600.00;	http://baralaye.com/sculpture/ceramics/joseph",,,,,
"S-CR_0017	Untitled		Stoneware with wax patina.	7 x 5 x 10.5	5.2	2012	/images/art/portfolio/large/S-CR_0017_a.jpg;/images/art/portfolio/large/S-CR_0017_b.jpg;/images/art/portfolio/large/S-CR_0017_c.jpg;/images/art/portfolio/large/S-CR_0017_d.jpg;/images/art/portfolio/large/S-CR_0017_e.jpg;/images/art/portfolio/large/S-CR_0017_f.jpg;/images/art/portfolio/large/S-CR_0017_g.jpg;/images/art/portfolio/large/S-CR_0017_h.jpg;	Y	/images/art/portfolio/small/S-CR_0017_a.jpg	/images/art/portfolio/large/S-CR_0017_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/600.00;	US/600.00;	http://baralaye.com/sculpture/ceramics/s-cr-0017",,,,,
"S-CR_0018	Untitled		Stoneware with wax patina.	8.5 x 3 x 10.5	5.7	2012	/images/art/portfolio/large/S-CR_0018_a.jpg;/images/art/portfolio/large/S-CR_0018_b.jpg;/images/art/portfolio/large/S-CR_0018_c.jpg;/images/art/portfolio/large/S-CR_0018_d.jpg;/images/art/portfolio/large/S-CR_0018_e.jpg;/images/art/portfolio/large/S-CR_0018_f.jpg;/images/art/portfolio/large/S-CR_0018_g.jpg;/images/art/portfolio/large/S-CR_0018_h.jpg;	Y	/images/art/portfolio/small/S-CR_0018_a.jpg	/images/art/portfolio/large/S-CR_0018_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/600.00;	US/600.00;	http://baralaye.com/sculpture/ceramics/s-cr-0018",,,,,
"S-CR_0019	Untitled		Stoneware with wax patina.	7.5 x 3.5 x 10.5	5.2	2012	/images/art/portfolio/large/S-CR_0019_a.jpg;/images/art/portfolio/large/S-CR_0019_b.jpg;/images/art/portfolio/large/S-CR_0019_c.jpg;/images/art/portfolio/large/S-CR_0019_d.jpg;/images/art/portfolio/large/S-CR_0019_e.jpg;/images/art/portfolio/large/S-CR_0019_f.jpg;/images/art/portfolio/large/S-CR_0019_g.jpg;/images/art/portfolio/large/S-CR_0019_h.jpg;	Y	/images/art/portfolio/small/S-CR_0019_a.jpg	/images/art/portfolio/large/S-CR_0019_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/600.00;	US/600.00;	http://baralaye.com/sculpture/ceramics/s-cr-0019",,,,,
"S-CR_0020	Untitled		Stoneware with wax patina.	9 x 3 x 13	4.8	2012	/images/art/portfolio/large/S-CR_0020_a.jpg;/images/art/portfolio/large/S-CR_0020_b.jpg;/images/art/portfolio/large/S-CR_0020_c.jpg;/images/art/portfolio/large/S-CR_0020_d.jpg;/images/art/portfolio/large/S-CR_0020_e.jpg;/images/art/portfolio/large/S-CR_0020_f.jpg;/images/art/portfolio/large/S-CR_0020_g.jpg;/images/art/portfolio/large/S-CR_0020_h.jpg;	Y	/images/art/portfolio/small/S-CR_0020_a.jpg	/images/art/portfolio/large/S-CR_0020_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/600.00;	US/600.00;	http://baralaye.com/sculpture/ceramics/s-cr-0020",,,,,,,,,,,,,,,,,,,,
"S-CR_0021	Untitled		Stoneware with wax patina.	9 x4.5 x 12.5	6.2	2012	/images/art/portfolio/large/S-CR_0021_a.jpg;/images/art/portfolio/large/S-CR_0021_b.jpg;/images/art/portfolio/large/S-CR_0021_c.jpg;/images/art/portfolio/large/S-CR_0021_d.jpg;/images/art/portfolio/large/S-CR_0021_e.jpg;/images/art/portfolio/large/S-CR_0021_f.jpg;/images/art/portfolio/large/S-CR_0021_g.jpg;/images/art/portfolio/large/S-CR_0021_h.jpg;	Y	/images/art/portfolio/small/S-CR_0021_a.jpg	/images/art/portfolio/large/S-CR_0021_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/600.00;	US/600.00;	http://baralaye.com/sculpture/ceramics/s-cr-0021",,,,,,,,,,,,,,,,,,,,
"S-CR_0022	Untitled		Stoneware with wax patina.	7.5 x 4.5 x 10	4	2012	/images/art/portfolio/large/S-CR_0022_a.jpg;/images/art/portfolio/large/S-CR_0022_b.jpg;/images/art/portfolio/large/S-CR_0022_c.jpg;/images/art/portfolio/large/S-CR_0022_d.jpg;/images/art/portfolio/large/S-CR_0022_e.jpg;/images/art/portfolio/large/S-CR_0022_f.jpg;/images/art/portfolio/large/S-CR_0022_g.jpg;/images/art/portfolio/large/S-CR_0022_h.jpg;	Y	/images/art/portfolio/small/S-CR_0022_a.jpg	/images/art/portfolio/large/S-CR_0022_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/600.00;	US/600.00;	http://baralaye.com/sculpture/ceramics/s-cr-0022",,,,,,,,,,,,,,,,,,,,
"S-CR_0023	Untitled		Stoneware with wax patina.	7 x 3 x 10	3.5	2012	/images/art/portfolio/large/S-CR_0023_a.jpg;/images/art/portfolio/large/S-CR_0023_b.jpg;/images/art/portfolio/large/S-CR_0023_c.jpg;/images/art/portfolio/large/S-CR_0023_d.jpg;/images/art/portfolio/large/S-CR_0023_e.jpg;/images/art/portfolio/large/S-CR_0023_f.jpg;/images/art/portfolio/large/S-CR_0023_g.jpg;/images/art/portfolio/large/S-CR_0023_h.jpg;	Y	/images/art/portfolio/small/S-CR_0023_a.jpg	/images/art/portfolio/large/S-CR_0023_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/600.00;	US/600.00;	http://baralaye.com/sculpture/ceramics/s-cr-0023",,,,,,,,,,,,,,,,,,,,
"S-CR_0024	Untitled		Stoneware with wax patina.	12.5 x 5 x 11.5	5.5	2012	/images/art/portfolio/large/S-CR_0024_a.jpg;/images/art/portfolio/large/S-CR_0024_b.jpg;/images/art/portfolio/large/S-CR_0024_c.jpg;/images/art/portfolio/large/S-CR_0024_d.jpg;/images/art/portfolio/large/S-CR_0024_e.jpg;/images/art/portfolio/large/S-CR_0024_f.jpg;/images/art/portfolio/large/S-CR_0024_g.jpg;/images/art/portfolio/large/S-CR_0024_h.jpg;	Y	/images/art/portfolio/small/S-CR_0024_a.jpg	/images/art/portfolio/large/S-CR_0024_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/600.00;	US/600.00;	http://baralaye.com/sculpture/ceramics/s-cr-0024",,,,,,,,,,,,,,,,,,,,
"S-CR_0025	Untitled		Stoneware with wax patina.	7.5 x 4 x 11	5.2	2012	/images/art/portfolio/large/S-CR_0025_a.jpg;/images/art/portfolio/large/S-CR_0025_b.jpg;/images/art/portfolio/large/S-CR_0025_c.jpg;/images/art/portfolio/large/S-CR_0025_d.jpg;/images/art/portfolio/large/S-CR_0025_e.jpg;/images/art/portfolio/large/S-CR_0025_f.jpg;/images/art/portfolio/large/S-CR_0025_g.jpg;/images/art/portfolio/large/S-CR_0025_h.jpg;	Y	/images/art/portfolio/small/S-CR_0025_a.jpg	/images/art/portfolio/large/S-CR_0025_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/600.00;	US/600.00;	http://baralaye.com/sculpture/ceramics/s-cr-0025",,,,,,,,,,,,,,,,,,,,
"S-CR_0027	Untitled		Stoneware with wax patina.	7.5 x 4.5 x 12.5	5.8	2012	/images/art/portfolio/large/S-CR_0027_a.jpg;/images/art/portfolio/large/S-CR_0027_a.jpg;/images/art/portfolio/large/S-CR_0027_b.jpg;/images/art/portfolio/large/S-CR_0027_c.jpg;/images/art/portfolio/large/S-CR_0027_d.jpg;/images/art/portfolio/large/S-CR_0027_e.jpg;/images/art/portfolio/large/S-CR_0027_f.jpg;/images/art/portfolio/large/S-CR_0017_g.jpg;/images/art/portfolio/large/S-CR_0017_h.jpg;	Y	/images/art/portfolio/small/S-CR_0027_a.jpg	/images/art/portfolio/large/S-CR_0027_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/600.00;	US/600.00;	http://baralaye.com/sculpture/ceramics/s-cr-0027",,,,,,,,,,,,,,,,,,,,
"S-CR_0009	Trane	<div class=""quote""><p>Over all"," I think the main thing a musician would like to do is give a picture to the listener of the many wonderful things that he knows of and senses in the universe.</p><span class=""att"">- John Coltrane</span></div>	terra-cotta	7 x 7 x 7	4.5	2004	/images/art/portfolio/large/S-CR_0009_a.jpg;/images/art/portfolio/large/S-CR_0009_b.jpg;	Y	/images/art/portfolio/small/S-CR_0009_a.jpg	/images/art/portfolio/large/S-CR_0009_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/700.00;	US/700.00;	http://baralaye.com/sculpture/ceramics/trane",,,,,,,,,,,,,,,,,,,
"S-CR_0015	Udumelue	<p>Meaning: Crowned with honor and pride<br />Origin: Yuroba tribe"," Nigeria.</p>	stoneware"," anagama fired	6.5 x 14.5 x 17.5	14.4	2011	/images/art/portfolio/large/S-CR_0015_a.jpg;/images/art/portfolio/large/S-CR_0015_b.jpg;/images/art/portfolio/large/S-CR_0015_c.jpg;/images/art/portfolio/large/S-CR_0015_d.jpg;/images/art/portfolio/large/S-CR_0015_e.jpg;/images/art/portfolio/large/S-CR_0015_f.jpg;/images/art/portfolio/large/S-CR_0015_g.jpg;/images/art/portfolio/large/S-CR_0015_h.jpg;	Y	/images/art/portfolio/small/S-CR_0015_a.jpg	/images/art/portfolio/large/S-CR_0015_a.jpg	/Sculpture/;/Sculpture/Ceramics/;	US/2000.00;	US/2000.00;	http://baralaye.com/sculpture/ceramics/udumelue",,,,,,,,,,,,,,,,,,
"S-MT_0001	Abram	<p>In the Old Testament", Abram is ordained by God as the lineage father of all of God&rsquo;s body of chosen people, Israel. He is blessed, sent on a journey to a Promised Land and later receives the name Abraham, &ldquo;father of many nations.&rdquo;</p><p>This form loosely reflects: at its top, Abram&rsquo;s faithfully singular focus of mind, further down, the dispersion of his lineage to descendants of many nations, and from mid-section to base," the challenges endured and overcome through his life&rsquo;s steadfast journey. </p><div class=""quote""><p>The LORD had said to Abram"," ""Leave your country"," your people and your father's household and go to the land I will show you.""<br />	bronze"," polished &amp; nickel plated	8.5 x 10 x 21	38.25	2010	/images/art/portfolio/large/S-MT_0001_a.jpg;/images/art/portfolio/large/S-MT_0001_b.jpg;/images/art/portfolio/large/S-MT_0001_c.jpg;/images/art/portfolio/large/S-MT_0001_d.jpg;/images/art/portfolio/large/S-MT_0001_e.jpg;/images/art/portfolio/large/S-MT_0001_f.jpg;/images/art/portfolio/large/S-MT_0001_g.jpg;/images/art/portfolio/large/S-MT_0001_h.jpg;	Y	/images/art/portfolio/small/S-MT_0001_a.jpg	/images/art/portfolio/large/S-MT_0001_a.jpg	/Sculpture/;/Sculpture/Metal/;	US/10000.00;	US/10000.00;	http://baralaye.com/sculpture/metal/abram",,,,,,,,
"S-MT_0005	Barabbas	""<p>Barabbas was an insurgent hostile to Roman occupation in Israel during the time of Christ. He was an imprisoned murderer", condemned within the Roman court and ostracized in society. When Christ was brought for judgment as an alleged political and religious dissenter before governor, Pontius Pilate, the observed festival custom of freeing a prisoner was then carried out in Barabbas&rsquo; favor rather than for Christ, under the pressed petition of his accusers. The guilty man was freed and Jesus, innocently accused though making no defense, was crucified.</p>,,,,,,,,,,,,,,
<p>Barabbas represents the fallen and brazen rebellion of humanity against God, destined to eternal condemnation. His acquittal captures the pivotal transcendence of grace in the gospel: while in transgression as enemies to God, his people were eternally forgiven, freed from judgement and reunited to him through the severely complete penalty of judgment and separation&nbsp;substitutionally&nbsp;embraced by his entirely sinless and righteous son, Jesus Christ. Christ's paid death and following resurrection has imbued to God&rsquo;s people the perfect image of Christ before God and the eternal place as heirs to his heavenly kingdom.</p>,,,,,,,,,,,,,,,,
