Product Code,Name,Description,Small Image,Large Image,Catalogue,Sale Price,Retail Price,Tax Code,SEO friendly URL,Grouping Product Codes,Grouping Product Descriptions,Supplier CRM ID,Supplier Commission Percentage,Weighting/Order,Related Products,Weight In KG/Pounds,Product Width (Previously Volume),Keywords,Unit Type,Min Units,Max Units,In Stock,On Order,Re-order Threshold,Inventory Control,Can Pre-Order,Custom 1,Custom 2,Custom 3,Custom 4,Poplets,Enabled,Capture Details,Limit Download Count,Limit Download IP,On Sale,Hide if Out of Stock,Attributes,Gift Voucher,Drop Shipping,Product Height,Product Depth,Exclude From Search Results,Product Title,Wholesale Sale Price,Tax Code,Cycle Type,Cycle Type Count,Product URL,Product Affiliate URL,Variations Enabled,Variations Code,Variation Options,Role Responsible,Product Meta Description
V-PT_0015,Duke,,/images/art/portfolio/small/V-PT_0015_a.jpg,/images/art/portfolio/large/V-PT_0015_a.jpg,/Art/Vessels/;/Art/Vessels/Pottery/;/Art/;,US/500.00;,US/500.00;,,duke,,,,,6002,,4,6,,vessel,,1,0,0,,Y,N,"porcelain, wheel-thrown &amp; slip-trailed, burnished",6 x 6 x 13.5,4.5,2006,/images/art/portfolio/large/V-PT_0015_a.jpg;/images/art/portfolio/large/V-PT_0015_b.jpg;,Y,N,,,N,Y,,N,N,13.5,6,N,Duke,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/duke,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041593&ObjectType=27,N,,,,
V-PT_0017,Emperor,,/images/art/portfolio/small/V-PT_0017_a.jpg,/images/art/portfolio/large/V-PT_0017_a.jpg,/Art/Vessels/;/Art/Vessels/Pottery/;/Art/;,US/500.00;,US/500.00;,,emperor,,,,,6001,,4.8,6.5,,vessel,,1,1,0,,N,N,"porcelain, wheel-thrown & slip-trailed, glazed",6.5 x 6.5 x 11.5,4.8,2006,/images/art/portfolio/large/V-PT_0017_a.jpg;/images/art/portfolio/large/V-PT_0017_b.jpg;,Y,N,,,N,N,,N,N,11.5,6.5,N,Emperor,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/emperor,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041594&ObjectType=27,N,,,,
V-SC_0001,Etude,,/images/art/portfolio/small/V-SC_0001_2_a.jpg,/images/art/portfolio/large/V-SC_0001_2_a.jpg,/Art/Vessels/;/Art/Vessels/Slipcast/;/Art/;,US/250.00;,US/250.00;,,etude,,,,,5003,,2.5,6,,vessel,,,1,0,,Y,N,"porcelain, slip-cast",6 x 6 x 15.5,1.5,2005,/images/art/portfolio/large/V-SC_0001_2_a.jpg;/images/art/portfolio/large/V-SC_0001_2_b.jpg;,Y,N,,,N,N,,N,N,15.5,6,N,Etude,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/etude,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041604&ObjectType=27,N,,,,
S-CR_0013,Ezra,"<div class=""quote""><p>With usura, sin against nature,<br />is thy bread ever more of stale rags<br />is thy bread dry as paper,<br />with no mountain wheat, no strong flour...</p><span class=""att"">Canto XLV - With Usura(excerpt)<br />- Ezra Pound</span></div>",/images/art/portfolio/small/S-CR_0013_a.jpg,/images/art/portfolio/large/S-CR_0013_a.jpg,/Art/Sculpture/;/Art/Sculpture/Ceramics/;/Art/;,US/600.00;,US/600.00;,,ezra,,,,,7002,,8.2,7,,sculpture,,1,1,0,,Y,N,"terra-cotta, acrylic surface",5 x 7 x 8,8,2006,/images/art/portfolio/large/S-CR_0013_a.jpg;/images/art/portfolio/large/S-CR_0013_b.jpg;,Y,N,,,N,N,,N,N,8,5,N,Ezra,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/ezra,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041569&ObjectType=27,N,,,,
V-SC_0005,Fuji,,/images/art/portfolio/small/V-SC_0005_2_a.jpg,/images/art/portfolio/large/V-SC_0005_2_a.jpg,/Art/Vessels/;/Art/Vessels/Slipcast/;/Art/;,US/350.00;,US/350.00;,,fuji,,,,,5003,,3,12,,vessel,,,1,0,,Y,N,"porcelain, slip-cast",7 x 12 x 16.53,,2006,/images/art/portfolio/large/V-SC_0005_2_a.jpg;/images/art/portfolio/large/V-SC_0005_2_b.jpg;,Y,N,,,N,N,,N,N,16.5,7,N,Fuji,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/fuji,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041608&ObjectType=27,N,,,,
S-CR_0011,Hughes,"<div class=""quote""><p>I've known rivers ancient as the world and older than the flow of human blood in human veins. My soul has grown deep like the rivers.</p><span class=""att"">The Negro Speaks of Rivers (excerpt) - Langston Hughes</span></div>",/images/art/portfolio/small/S-CR_0011_a.jpg,/images/art/portfolio/large/S-CR_0011_a.jpg,/Art/Sculpture/;/Art/Sculpture/Ceramics/;/Art/;,US/900.00;,US/900.00;,,hughes,,,,,7001,,16.5,16,,sculpture,,1,1,0,,Y,N,terra-cotta,13 x 16 x 16,16.5,2004,/images/art/portfolio/large/S-CR_0011_a.jpg;/images/art/portfolio/large/S-CR_0011_b.jpg;,Y,N,,,N,N,,N,N,16,13,N,Hughes,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/hughes,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041567&ObjectType=27,N,,,,
S-CR_0012,Jehoakim,,/images/art/portfolio/small/S-CR_0012_a.jpg,/images/art/portfolio/large/S-CR_0012_a.jpg,/Art/Sculpture/;/Art/Sculpture/Ceramics/;/Art/;,US/600.00;,US/600.00;,,jehoakim,,,,,7002,,10,7,,sculpture,,1,1,0,,Y,N,"terra-cotta, acrylic surface",5 x 7 x 9,10,2006,/images/art/portfolio/large/S-CR_0012_a.jpg;/images/art/portfolio/large/S-CR_0012_b.jpg;,Y,N,,,N,N,,N,N,9,5,N,Jehoakim,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/jehoakim,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041568&ObjectType=27,N,,,,
S-MT_0002,Jonah,"<p>The prophet Jonah, fleeing from God's commission to warn the inhabitants of Nineveh of coming judgement, boarded a ship instead bound for Tarshih.  He was engulfed by a raging storm and then, upon being cast into the sea, by a large fish. In the fish's belly for three days he cried out to the Lord, accepting his commission, before being released on the shores of Nineveh. At Jonah's warning the Ninevites do repent and are spared from destruction. Jonah, however, is displeased, unable to reconcile God&rsquo;s just judgment with his ultimate mercy.</p><p>In this form the smooth sections of surface, clash when encircled with rippled planes likened to stormy waves. The fin-like protrusions on the piece and subtle striations leading up to its crest suggest the fish that is sent to save Jonah&rsquo;s life. The form&rsquo;s body is twisted, at varying degrees appearing to be turning away or settling back, evoking Jonah&rsquo;s hesitation to obey and ultimate inability to understand God&rsquo;s will.</p><p class=""quote"">In my distress I called to the LORD, and he answered me. From the depths of the grave I called for help, and you listened to my cry.<br />You hurled me into the deep, into the very heart of the seas, and the currents swirled about me; all your waves and breakers swept over me.<br />I said, 'I have been banished from your sight; yet I will look again toward your holy temple.'<br />The engulfing waters threatened me,the deep surrounded me; seaweed was wrapped around my head.<br />To the roots of the mountains I sank down; the earth beneath barred me in forever. But you brought my life up from the pit, O LORD my God.<br /><br /><span class=""att"">Jonah 2:2-6</span></p><ul class=""specs sub""><li>production: <a href=""http://www.excaliburbronzeny.com"" target=""_blank"">Excalibur Sculpture Foundry</a></li><li>photography: <a href=""http://www.joegarrad.com"" target=""_blank"">Joe Garrad</a></li></ul>",/images/art/portfolio/small/S-MT_0002_a.jpg,/images/art/portfolio/large/S-MT_0002_a.jpg,/Art/Sculpture/;/Art/Sculpture/Metal/;/Art/;,US/6000.00;,US/6000.00;,,jonah,,,,,9001,,16,5.5,,sculpture,,3,0,1,,Y,N,"bronze, polished &amp; nickel plated",6 x 6 x 15.5,16,2010,/images/art/portfolio/large/S-MT_0002_a.jpg;/images/art/portfolio/large/S-MT_0002_b.jpg;/images/art/portfolio/large/S-MT_0002_c.jpg;/images/art/portfolio/large/S-MT_0002_d.jpg;/images/art/portfolio/large/S-MT_0002_e.jpg;/images/art/portfolio/large/S-MT_0002_f.jpg;/images/art/portfolio/large/S-MT_0002_g.jpg;/images/art/portfolio/large/S-MT_0002_h.jpg;/images/art/portfolio/large/S-MT_0002_i.jpg;/images/art/portfolio/large/S-MT_0002_j.jpg;,Y,N,,,N,N,,N,N,15,5,N,Jonah,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/jonah,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041589&ObjectType=27,N,,,,
S-CR_0026,Joseph,,/images/art/portfolio/small/S-CR_0026_a.jpg,/images/art/portfolio/large/S-CR_0026_a.jpg,/Art/Sculpture/;/Art/Sculpture/Ceramics/;/Art/;,US/600.00;,US/600.00;,,joseph,,,,,7003,,,,,sculpture,,1,1,0,,Y,N,Stoneware with wax patina.,7.5 x 3.5 x 10.5,3.8,2012,/images/art/portfolio/large/S-CR_0026_a.jpg;/images/art/portfolio/large/S-CR_0026_b.jpg;/images/art/portfolio/large/S-CR_0026_c.jpg;/images/art/portfolio/large/S-CR_0026_d.jpg;/images/art/portfolio/large/S-CR_0026_e.jpg;/images/art/portfolio/large/S-CR_0026_f.jpg;/images/art/portfolio/large/S-CR_0026_g.jpg;/images/art/portfolio/large/S-CR_0026_h.jpg;,Y,N,,,N,N,,N,N,,,N,Joseph,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/joseph,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041582&ObjectType=27,N,,,,
V-PT_0018,Judy,,/images/art/portfolio/small/V-PT_0018_a.jpg,/images/art/portfolio/large/V-PT_0018_a.jpg,/Art/Vessels/;/Art/Vessels/Pottery/;/Art/;,US/500.00;,US/500.00;,,judy,,,,,6001,,4.5,5.5,,vessel,,1,1,0,,N,N,"porcelain, wheel-thrown & slip-trailed, glazed",5.5 x 5.5 x 11,4.5,2006,/images/art/portfolio/large/V-PT_0018_a.jpg;/images/art/portfolio/large/V-PT_0018_b.jpg;,Y,N,,,N,N,,N,N,11,5.5,N,Judy,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/judy,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041595&ObjectType=27,N,,,,
